sensor_1,1547718199,35.8
sensor_6,1547718201,15.4
sensor_7,1547718202,6.7
sensor_6,1547718205,38.1
sensor_1,1547718207,36.3
sensor_1,1547718209,32.8
sensor_1,1547718212,37.1
sensor_1,1547718209,32.8
sensor_2,1547718219,31.8
sensor_3,1547718229,31.5
sensor_4,1547718239,32.7
sensor_7,1547718249,31.5
sensor_3,1547718259,31.1
sensor_3,1547718269,30.8
sensor_9,1547718309,32.1
sensor_2,1547718819,32.4
sensor_2,1547718839,33.7
sensor_3,1547718869,35.8
sensor_4,1547718919,32.0
sensor_5,1547718929,32.2
sensor_6,1547718969,31.1
sensor_2,1547719959,31.9
sensor_3,1547719999,34.5
sensor_1,1547722199,35.8
sensor_1,1547722299,31.8
sensor_1,1547722399,33.8
